estrategia,variavel,coeficiente
original,intercepto,-0.00165836
original,idade,-0.02229707
original,renda_anual,-4.136e-05
original,tempo_emprego,-0.01663188
original,valor_emprestimo,0.00010363
original,taxa_juros_emprestimo,0.06639221
original,percentual_renda_emprestimo,0.00043001
original,historico_inadimplencia,0.00539749
original,duracao_historico_credito,0.00434304
original,residencia_hipoteca,-0.00484975
original,residencia_outro,4.117e-05
original,residencia_propria,-0.00335602
original,intencao_emprestimo_educacao,-0.00279605
original,intencao_emprestimo_empreendimento,-0.00321794
original,intencao_emprestimo_medico,0.00147652
original,intencao_emprestimo_melhoria_residencial,0.00140189
original,intencao_emprestimo_pessoal,-0.00092121
original,classificacao_emprestimo_B,-0.00518984
original,classificacao_emprestimo_C,-0.00128152
original,classificacao_emprestimo_D,0.00855592
original,classificacao_emprestimo_E,0.00257068
original,classificacao_emprestimo_F,0.00070779
original,classificacao_emprestimo_G,0.00026418
balanceado,intercepto,-0.03268426
balanceado,idade,-0.08634655
balanceado,renda_anual,-2.887e-05
balanceado,tempo_emprego,-0.0229926
balanceado,valor_emprestimo,9.241e-05
balanceado,taxa_juros_emprestimo,0.23309251
balanceado,percentual_renda_emprestimo,0.0165392
balanceado,historico_inadimplencia,0.03918154
balanceado,duracao_historico_credito,0.10006303
balanceado,residencia_hipoteca,-0.07623155
balanceado,residencia_outro,0.00019206
balanceado,residencia_propria,-0.06500211
balanceado,intencao_emprestimo_educacao,-0.05541757
balanceado,intencao_emprestimo_empreendimento,-0.07237194
balanceado,intencao_emprestimo_medico,0.02870398
balanceado,intencao_emprestimo_melhoria_residencial,0.03013683
balanceado,intencao_emprestimo_pessoal,-0.02007458
balanceado,classificacao_emprestimo_B,-0.08669986
balanceado,classificacao_emprestimo_C,-0.07564491
balanceado,classificacao_emprestimo_D,0.1195084
balanceado,classificacao_emprestimo_E,0.0287878
balanceado,classificacao_emprestimo_F,0.00726564
balanceado,classificacao_emprestimo_G,0.0028117
