estrategia,variavel,coeficiente
original,intercepto,-0.00164505
original,idade,-0.0253896
original,renda_anual,-3.896e-05
original,tempo_emprego,-0.01753997
original,valor_emprestimo,0.00010314
original,taxa_juros_emprestimo,0.06316327
original,percentual_renda_emprestimo,0.00041138
original,historico_inadimplencia,0.00517368
original,duracao_historico_credito,0.00281201
original,residencia_hipoteca,-0.00465318
original,residencia_outro,3.038e-05
original,residencia_propria,-0.00310047
original,intencao_emprestimo_educacao,-0.00250921
original,intencao_emprestimo_empreendimento,-0.00289386
original,intencao_emprestimo_medico,0.00117851
original,intencao_emprestimo_melhoria_residencial,0.00141193
original,intencao_emprestimo_pessoal,-0.00084976
original,classificacao_emprestimo_B,-0.00481876
original,classificacao_emprestimo_C,-0.00127333
original,classificacao_emprestimo_D,0.00808394
original,classificacao_emprestimo_E,0.00246428
original,classificacao_emprestimo_F,0.00065316
original,classificacao_emprestimo_G,0.00029706
balanceado,intercepto,-0.02263605
balanceado,idade,-0.08771551
balanceado,renda_anual,-2.856e-05
balanceado,tempo_emprego,-0.01999451
balanceado,valor_emprestimo,8.981e-05
balanceado,taxa_juros_emprestimo,0.22424289
balanceado,percentual_renda_emprestimo,0.00996404
balanceado,historico_inadimplencia,0.0309774
balanceado,duracao_historico_credito,0.11835205
balanceado,residencia_hipoteca,-0.05098954
balanceado,residencia_outro,9.874e-05
balanceado,residencia_propria,-0.0402454
balanceado,intencao_emprestimo_educacao,-0.03385252
balanceado,intencao_emprestimo_empreendimento,-0.04460931
balanceado,intencao_emprestimo_medico,0.01615436
balanceado,intencao_emprestimo_melhoria_residencial,0.02005988
balanceado,intencao_emprestimo_pessoal,-0.01144242
balanceado,classificacao_emprestimo_B,-0.05531697
balanceado,classificacao_emprestimo_C,-0.04612963
balanceado,classificacao_emprestimo_D,0.08023756
balanceado,classificacao_emprestimo_E,0.02034405
balanceado,classificacao_emprestimo_F,0.00506836
balanceado,classificacao_emprestimo_G,0.00229836
