variavel,categoria,frequencia,percentual
residencia,aluguel,14546,50.81
residencia,hipoteca,11797,41.21
residencia,outro,94,0.33
residencia,propria,2192,7.66
intencao_emprestimo,consolidacao_dividas,4565,15.95
intencao_emprestimo,educacao,5702,19.92
intencao_emprestimo,empreendimento,4999,17.46
intencao_emprestimo,medico,5291,18.48
intencao_emprestimo,melhoria_residencial,3198,11.17
intencao_emprestimo,pessoal,4874,17.02
classificacao_emprestimo,A,9399,32.83
classificacao_emprestimo,B,9148,31.95
classificacao_emprestimo,C,5697,19.9
classificacao_emprestimo,D,3247,11.34
classificacao_emprestimo,E,870,3.04
classificacao_emprestimo,F,209,0.73
classificacao_emprestimo,G,59,0.21
