id,ordem,modelo,estrategia,verdadeiro_negativo,falso_positivo,falso_negativo,verdadeiro_positivo,taxa_falso_negativo,lucro,lucro_por_registro,acuracia,precisao,recall,f1_score,roc_auc,pr_auc,fold_externo,registros_teste,proporcao_inadimplentes_teste
logistica_original,0,Regressão Logística,original,2212,31,484,136,0.780645,-2877925.9875,-1005.213408,0.820119,0.814371,0.219355,0.345616,0.808236,0.611997,1,2863,0.216556
logistica_balanceada,1,Regressão Logística,balanceado,1594,649,130,490,0.209677,187459.4775,65.47659,0.727908,0.430202,0.790323,0.557135,0.829391,0.638406,1,2863,0.216556
arvore_original,2,Árvore de Decisão,original,2067,176,130,490,0.209677,712755.605,248.954106,0.893119,0.735736,0.790323,0.762053,0.855928,0.626875,1,2863,0.216556
arvore_balanceada,3,Árvore de Decisão,balanceado,2086,157,143,477,0.230645,520669.2625,181.861426,0.895215,0.752366,0.769355,0.760766,0.84968,0.628784,1,2863,0.216556
naive_original,4,Gaussian Naive Bayes,original,2170,73,423,197,0.682258,-2117563.7925,-739.631084,0.826755,0.72963,0.317742,0.442697,0.794208,0.588054,1,2863,0.216556
naive_balanceado,5,Gaussian Naive Bayes,balanceado,1399,844,128,492,0.206452,11871.11,4.146388,0.660496,0.368263,0.793548,0.503067,0.794208,0.588054,1,2863,0.216556
knn_original,6,KNN,original,2180,63,226,394,0.364516,5921.9175,2.068431,0.899057,0.862144,0.635484,0.731662,0.870361,0.760582,1,2863,0.216556
knn_balanceado,7,KNN,balanceado,1833,410,132,488,0.212903,592627.8775,206.995417,0.810688,0.54343,0.787097,0.642951,0.858062,0.667409,1,2863,0.216556
forest_original,8,Random Forest,original,2232,11,158,462,0.254839,645008.7725,225.291223,0.940971,0.976744,0.745161,0.84538,0.942912,0.903412,1,2863,0.216556
forest_balanceada,9,Random Forest,balanceado,2196,47,133,487,0.214516,868616.07,303.393667,0.937129,0.911985,0.785484,0.844021,0.942654,0.901565,1,2863,0.216556
xgboost_original,10,XGBoost,original,2223,20,149,471,0.240323,774263.0125,270.437657,0.940971,0.959267,0.759677,0.847885,0.950852,0.912112,1,2863,0.216556
xgboost_balanceado,11,XGBoost,balanceado,2131,112,114,506,0.183871,943922.275,329.696918,0.921062,0.81877,0.816129,0.817447,0.952909,0.912206,1,2863,0.216556
lightgbm_original,12,LightGBM,original,2238,5,157,463,0.253226,669026.3725,233.680186,0.943416,0.989316,0.746774,0.851103,0.953093,0.916414,1,2863,0.216556
lightgbm_balanceado,13,LightGBM,balanceado,2129,114,111,509,0.179032,1044134.29,364.699368,0.921411,0.817014,0.820968,0.818986,0.953389,0.914645,1,2863,0.216556
logistica_original,0,Regressão Logística,original,2213,30,487,133,0.785484,-2893654.115,-1010.706991,0.81942,0.815951,0.214516,0.339719,0.784993,0.58014,2,2863,0.216556
logistica_balanceada,1,Regressão Logística,balanceado,1586,657,149,471,0.240323,116801.9875,40.797062,0.718477,0.417553,0.759677,0.538902,0.810309,0.594303,2,2863,0.216556
arvore_original,2,Árvore de Decisão,original,2070,173,147,473,0.237097,601196.4225,209.988272,0.888229,0.732198,0.762903,0.747235,0.842887,0.609941,2,2863,0.216556
arvore_balanceada,3,Árvore de Decisão,balanceado,2090,153,149,471,0.240323,679469.2625,237.32772,0.894516,0.754808,0.759677,0.757235,0.845733,0.625454,2,2863,0.216556
naive_original,4,Gaussian Naive Bayes,original,2176,67,458,162,0.73871,-2522530.37,-881.079417,0.816626,0.707424,0.26129,0.381625,0.771966,0.52762,2,2863,0.216556
