modelo,estrategia,papel,verdadeiro_negativo,falso_positivo,falso_negativo,verdadeiro_positivo,lucro,acuracia,precisao,recall,f1_score,roc_auc,pr_auc
Regressão Logística,original,,6604,124,1379,482,-7570532.98,0.825009,0.79538,0.259001,0.390758,0.792101,0.583373
Regressão Logística,balanceado,,4767,1961,421,1440,342134.76,0.722669,0.423405,0.773778,0.54732,0.820754,0.597879
Árvore de Decisão,original,,6248,480,451,1410,2212771.58,0.891606,0.746032,0.757657,0.7518,0.843157,0.617745
Árvore de Decisão,balanceado,,6290,438,458,1403,2295423.35,0.895681,0.762086,0.753896,0.757969,0.844397,0.627857
Gaussian Naive Bayes,original,,6519,209,1356,505,-6722119.54,0.81779,0.707283,0.271359,0.392233,0.784379,0.537237
Gaussian Naive Bayes,balanceado,,4483,2245,475,1386,-386512.82,0.683316,0.381713,0.744761,0.504734,0.784379,0.537237
KNN,original,,6542,186,717,1144,82677.71,0.894866,0.86015,0.614723,0.717017,0.859357,0.739274
KNN,balanceado,,5525,1203,459,1402,1375092.91,0.806497,0.538196,0.753358,0.627855,0.844186,0.640617
Random Forest,original,,6653,75,505,1356,2209972.85,0.932472,0.947589,0.728641,0.823815,0.931959,0.880317
Random Forest,balanceado,,6550,178,456,1405,2540361.69,0.926185,0.887555,0.75497,0.815912,0.933315,0.878937
XGBoost,original,,6666,62,493,1368,2388590.97,0.935382,0.956643,0.735089,0.831358,0.945472,0.899999
XGBoost,balanceado,champion,6447,281,377,1484,3031737.1,0.92339,0.840793,0.797421,0.818533,0.944728,0.900615
LightGBM,original,,6685,43,518,1343,2142829.68,0.934684,0.968975,0.721655,0.827225,0.94849,0.902546
LightGBM,balanceado,challenger,6402,326,403,1458,2768269.27,0.915124,0.817265,0.78345,0.8,0.944957,0.897028
