id,ordem,modelo,estrategia,verdadeiro_negativo,falso_positivo,falso_negativo,verdadeiro_positivo,taxa_falso_negativo,lucro,lucro_por_registro,acuracia,precisao,recall,f1_score,roc_auc,pr_auc,lucro_por_registro_media,lucro_por_registro_desvio,taxa_falso_negativo_media,taxa_falso_negativo_desvio,recall_media,recall_desvio,roc_auc_media,roc_auc_desvio,pr_auc_media,pr_auc_desvio,papel
logistica_original,0,Regressão Logística,original,22013,414,4788,1414,0.772009,-26398602.14,-922.093057,0.818296,0.773523,0.227991,0.352179,0.790675,0.575768,-922.09367,83.081407,0.772004,0.019379,0.227996,0.019379,0.791209,0.015109,0.578561,0.021956,
logistica_balanceada,1,Regressão Logística,balanceado,15978,6449,1418,4784,0.228636,964233.68,33.680313,0.725209,0.425888,0.771364,0.548781,0.819466,0.599335,33.677068,65.435901,0.228629,0.020853,0.771371,0.020853,0.819431,0.017755,0.6011,0.032793,
arvore_original,2,Árvore de Decisão,original,20713,1714,1446,4756,0.233151,7023847.86,245.340314,0.889622,0.735085,0.766849,0.750631,0.845212,0.614208,245.338893,53.385402,0.233144,0.014446,0.766856,0.014446,0.845215,0.007611,0.61432,0.013101,
arvore_balanceada,3,Árvore de Decisão,balanceado,20872,1555,1519,4683,0.244921,6414297.71,224.048961,0.892626,0.750721,0.755079,0.752894,0.842871,0.619912,224.050093,70.186047,0.24491,0.019569,0.75509,0.019569,0.842877,0.010601,0.620121,0.01873,
naive_original,4,Gaussian Naive Bayes,original,21681,746,4493,1709,0.724444,-23259707.55,-812.452672,0.817004,0.69613,0.275556,0.394825,0.779763,0.532812,-812.451972,53.040755,0.724439,0.019737,0.275561,0.019737,0.779824,0.011755,0.533842,0.024,
naive_balanceado,5,Gaussian Naive Bayes,balanceado,14434,7993,1515,4687,0.244276,-1681351.89,-58.728977,0.667889,0.369637,0.755724,0.496452,0.779763,0.532811,-58.729801,41.977278,0.244273,0.01885,0.755727,0.01885,0.779824,0.011755,0.533842,0.024,
knn_original,6,KNN,original,21782,645,2381,3821,0.383908,-90147.45,-3.148816,0.894303,0.855575,0.616092,0.716348,0.865088,0.746746,-3.147708,53.322169,0.383901,0.01584,0.616099,0.01584,0.865118,0.008259,0.746884,0.014144,
knn_balanceado,7,KNN,balanceado,18533,3894,1474,4728,0.237665,4960090.81,173.254071,0.812498,0.548365,0.762335,0.637885,0.851614,0.655037,173.254844,46.196171,0.237661,0.01784,0.762339,0.01784,0.851638,0.008891,0.65526,0.016128,
forest_original,8,Random Forest,original,22192,235,1695,4507,0.273299,6472265.56,226.073756,0.932586,0.950443,0.726701,0.823648,0.931523,0.881446,226.075394,45.772973,0.273294,0.011986,0.726706,0.011986,0.931571,0.007692,0.881591,0.011528,
forest_balanceada,9,Random Forest,balanceado,21774,653,1505,4697,0.242664,7830974.97,273.532955,0.924622,0.877944,0.757336,0.813193,0.932866,0.880926,273.533796,45.100425,0.242659,0.013604,0.757341,0.013604,0.932879,0.007523,0.880982,0.011578,
xgboost_original,10,XGBoost,original,22193,234,1631,4571,0.26298,7354210.02,256.879738,0.934856,0.951301,0.73702,0.830562,0.94734,0.902756,256.88005,48.852181,0.262973,0.014609,0.737027,0.014609,0.947365,0.005219,0.902797,0.007722,
xgboost_balanceado,11,XGBoost,balanceado,21282,1145,1241,4961,0.200097,9616407.55,335.897431,0.916658,0.81248,0.799903,0.806142,0.947147,0.901734,335.897926,39.238421,0.200095,0.010505,0.799905,0.010505,0.947149,0.003899,0.90175,0.006268,champion
lightgbm_original,12,LightGBM,original,22282,145,1718,4484,0.277007,6556814.78,229.027028,0.934926,0.968676,0.722993,0.827994,0.947036,0.900936,229.027157,49.782319,0.277003,0.013295,0.722997,0.013295,0.947131,0.004898,0.90103,0.008164,
lightgbm_balanceado,13,LightGBM,balanceado,21247,1180,1264,4938,0.203805,9413362.18,328.805134,0.914632,0.807127,0.796195,0.801623,0.946963,0.899706,328.805212,51.214495,0.2038,0.014062,0.7962,0.014062,0.947028,0.004745,0.899799,0.00794,challenger
