fold_externo,papel,id,modelo,estrategia,lucro_por_registro_interno_media,lucro_por_registro_interno_erro_padrao,taxa_fn_interna_media,taxa_fn_interna_erro_padrao,lucro_externo,lucro_por_registro_externo,falso_negativo_externo,taxa_fn_externa,recall_externo,roc_auc_externo,pr_auc_externo
1,champion,lightgbm_balanceado,LightGBM,balanceado,313.576787,11.589783,0.211035,0.004921,1044134.29,364.699368,111,0.179032,0.820968,0.953389,0.914645
1,challenger,xgboost_balanceado,XGBoost,balanceado,322.137891,22.031297,0.206375,0.006107,943922.275,329.696918,114,0.183871,0.816129,0.952909,0.912206
2,champion,xgboost_balanceado,XGBoost,balanceado,332.948005,11.799168,0.200824,0.001776,987069.11,344.767415,129,0.208065,0.791935,0.944546,0.900312
2,challenger,lightgbm_balanceado,LightGBM,balanceado,314.956896,19.032326,0.208529,0.004659,1001558.4775,349.828319,126,0.203226,0.796774,0.94138,0.896345
3,champion,lightgbm_balanceado,LightGBM,balanceado,315.982729,12.556401,0.206556,0.003001,877729.56,306.576863,140,0.225806,0.774194,0.946523,0.895082
3,challenger,xgboost_balanceado,XGBoost,balanceado,317.686324,18.10906,0.208706,0.00609,929559.1325,324.680102,135,0.217742,0.782258,0.946358,0.897299
4,champion,xgboost_balanceado,XGBoost,balanceado,327.25086,8.021701,0.204587,0.00291,976985.0225,341.245205,123,0.198387,0.801613,0.951252,0.90699
4,challenger,lightgbm_balanceado,LightGBM,balanceado,321.516875,12.682688,0.205662,0.002863,1062271.3575,371.034355,123,0.198387,0.801613,0.952586,0.906994
5,champion,lightgbm_balanceado,LightGBM,balanceado,314.318463,15.983781,0.207453,0.006118,1008826.9525,352.367081,127,0.204839,0.795161,0.948814,0.902644
5,challenger,xgboost_balanceado,XGBoost,balanceado,312.463395,16.874653,0.207273,0.005315,1103455.645,385.419366,122,0.196774,0.803226,0.949452,0.906982
6,champion,lightgbm_balanceado,LightGBM,balanceado,304.035297,9.305407,0.213542,0.006275,1080754.5925,377.490252,120,0.193548,0.806452,0.951088,0.905164
6,challenger,xgboost_balanceado,XGBoost,balanceado,314.156787,12.60454,0.211033,0.006538,1120769.975,391.466984,114,0.183871,0.816129,0.951963,0.908143
7,champion,xgboost_balanceado,XGBoost,balanceado,336.826189,7.760571,0.200645,0.00443,972117.385,339.545017,125,0.201613,0.798387,0.944686,0.897979
7,challenger,lightgbm_balanceado,LightGBM,balanceado,309.740759,9.290932,0.213005,0.005566,1010220.06,352.853671,122,0.196774,0.803226,0.949965,0.90297
8,champion,lightgbm_balanceado,LightGBM,balanceado,325.534351,9.001269,0.205697,0.004698,743838.435,259.81084,135,0.217391,0.782609,0.941863,0.890812
8,challenger,xgboost_balanceado,XGBoost,balanceado,326.333381,10.854777,0.202651,0.006117,842512.215,294.276009,128,0.206119,0.793881,0.942371,0.893541
9,champion,lightgbm_balanceado,LightGBM,balanceado,326.743625,15.908382,0.208388,0.007269,636628.8875,222.364264,137,0.220612,0.779388,0.942151,0.890955
9,challenger,xgboost_balanceado,XGBoost,balanceado,333.785849,21.862116,0.203375,0.010449,738098.9175,257.806119,128,0.206119,0.793881,0.942992,0.896604
10,champion,lightgbm_balanceado,LightGBM,balanceado,314.286756,22.758427,0.209962,0.009879,947399.57,331.027103,123,0.198387,0.801613,0.94252,0.892378
10,challenger,xgboost_balanceado,XGBoost,balanceado,322.837529,22.973458,0.207631,0.009645,1001917.8725,350.076126,123,0.198387,0.801613,0.944965,0.89744
